"","question_number","comment","guidance","judgement","tone","active_listening","follow_up","natural","begin","finish","skipped","comment_1","grammaticality","grammaticality_confidence","relevance","relevance_confidence","specificity","specificity_confidence","clarity","clarity_confidence","empathy","empathy_confidence","response_complexity","response_complexity_confidence","engagement","engagement_confidence","tone_answers","tone_answers_confidence","interview_identifier","type","rater"
"1",1,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af776","Human","rater1"
"2",2,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af777","Human","rater1"
"3",3,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af778","Human","rater1"
"4",4,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af779","Human","rater1"
"5",5,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af780","Human","rater1"
"6",6,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af781","Human","rater1"
"7",7,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af782","Human","rater1"
"8",8,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af783","Human","rater1"
"9",9,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af784","Human","rater1"
"10",10,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af785","Human","rater1"
"11",11,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af786","Human","rater1"
"12",12,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af787","Human","rater1"
"13",13,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af788","Human","rater1"
"14",14,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af789","Human","rater1"
"15",0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"e36f2a62d-9fbe-485f-aee8-9f8f9a9af790","Human","rater1"
